#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,sensor_id
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:49:04.000000001Z,35.09887916506462,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:49:14.000000001Z,35.06761284291421,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:49:24.000000001Z,35.05162893364938,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:49:34.000000001Z,35.09194144830637,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:49:44.000000001Z,35.123870388460766,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:49:54.000000001Z,35.14205149852562,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:50:04.000000001Z,35.18267559687576,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:50:14.000000001Z,35.21705229499062,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:50:24.000000001Z,35.251473393399515,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:50:34.000000001Z,35.25109940600149,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:50:44.000000001Z,35.24812883785118,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:50:54.000000001Z,35.284612155941346,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:51:04.000000001Z,35.26671175403383,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:51:14.000000001Z,35.27274953009931,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:51:24.000000001Z,35.30403178624333,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:51:34.000000001Z,35.31145785300034,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:51:44.000000001Z,35.287722382134234,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:51:54.000000001Z,35.302906037498836,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:52:04.000000001Z,35.29902249930044,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:52:14.000000001Z,35.30447269055282,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:52:24.000000001Z,35.35375711415046,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:52:34.000000001Z,35.36482701267734,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:52:44.000000001Z,35.36781530805799,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:52:54.000000001Z,35.388101536064504,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:53:04.000000001Z,35.41338357019183,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:53:14.000000001Z,35.424691183072696,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:53:24.000000001Z,35.440227134844825,humidity,airSensors,TLM0100
,,0,2019-02-27T20:55:22Z,2024-03-02T02:55:22Z,2024-02-28T03:53:34.000000001Z,35.425962662777415,humidity,airSensors,TLM0100
